"World Tourism Organization (2020), Compendium of Tourism Statistics dataset [Electronic], UNWTO, Madrid, data updated on 20/01/2020.",,,,,,,,,,,,,,,,,,,,,,,,,
Conceptual references and technical notes are available in the Methodological Notes to the Tourism Statistics Database:,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.unwto.org/method_notes_tourism_stat_database_2019ed,,,,,,,,,,,,,,,,,,,,,,,,,
Compendium of Tourism Statistics - Basic data and indicators,,,,,,,,,,,,,,,,,,,,,,,,,
Series 1.1: Inbound tourism - Arrivals of non-resident visitors (overnight visitors -tourists- and same-day visitors -excursionists-) at national borders - Thousands,,,,,,,,,,,,,,,,,,,,,,,,,
COD.,COUNTRY,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
100,Bulgaria,"8,005","6,811","7,543","5,240","5,056","4,922","5,104","5,563","6,241","6,982","7,282","7,499","7,726","8,533","7,873","8,374","8,713","8,867","9,192","9,409","9,317","10,604","11,596","12,368"
854,Burkina Faso,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
108,Burundi,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
132,Cabo Verde,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
116,Cambodia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
120,Cameroon,..,..,..,..,..,..,..,..,..,..,..,451,477,487,498,573,604,817,783,822,897,994,"1,081",..
124,Canada,"41,657","43,256","45,076","48,064","49,055","48,638","47,147","44,896","38,903","38,845","36,160","33,390","30,373","27,370","24,696","25,621","25,066","25,318","25,167","25,558","27,555","30,142","31,081","31,274"
136,Cayman Islands,"1,044","1,173","1,248","1,275","1,431","1,385","1,549","1,878","2,113","1,953","1,967","2,197","2,008","1,856","1,792","1,886","1,710","1,829","1,721","1,993","2,102","2,097","2,147","2,384"
140,Central African Republic,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
148,Chad,58,67,77,89,93,94,175,149,101,106,59,..,..,..,..,..,..,..,..,..,..,..,..,..
152,Chile,..,..,..,..,..,..,..,..,..,..,..,..,..,"3,713","3,657","3,584","3,963","4,397","4,457","4,601","5,487","6,712","7,621","6,603"
